loc_rowid,toi,tid,tfopwg_disp
878,1743.01,219860288,CP
879,1744.01,229455001,CP
880,1745.01,232635922,PC
881,1746.01,232650365,PC
882,1746.02,232650365,PC
883,1747.01,233071822,PC
884,1748.01,233071926,PC
885,1749.01,233602827,CP
886,1749.02,233602827,CP
887,1749.03,233602827,KP
888,175.01,307210830,CP
889,175.02,307210830,CP
890,175.03,307210830,CP
891,1750.01,237099296,PC
892,1751.01,287080092,CP
893,1752.01,287139872,CP
894,1752.02,287139872,CP
895,1753.01,289580577,CP
896,1754.01,332477926,PC
897,1755.01,356978132,APC
898,1756.01,364074068,PC
899,1757.01,367753709,PC
900,1757.02,367753709,PC
901,1758.01,367858035,CP
902,1759.01,408636441,CP
903,176.01,272086159,FP
904,1760.01,420112587,FP
905,1761.01,424391516,PC
906,1762.01,435680451,PC
907,1763.01,441739871,PC
908,1764.01,1551345500,PC
909,1765.01,272672133,PC
910,1766.01,67666096,KP
911,1767.01,8767448,KP
912,1768.01,137906197,CP
913,1769.01,287225295,APC
914,177.01,262530407,CP
915,1770.01,457138169,FP
916,1771.01,252479260,KP
917,1772.01,85293053,CP
918,1772.02,85293053,PC
919,1773.01,332064670,KP
920,1774.01,4897275,CP
921,1775.01,9348006,CP
922,1776.01,21535395,CP
923,1777.01,29191624,CP
924,1778.01,39699648,CP
925,1779.01,67646988,KP
926,178.01,251848941,CP
927,178.02,251848941,CP
928,178.03,251848941,CP
929,178.04,251848941,KP
930,178.05,251848941,KP
931,1780.01,99834717,KP
932,1781.01,137881699,KP
933,1782.01,160045097,CP
934,1782.02,160045097,CP
935,1782.03,160045097,PC
936,1783.01,229938290,PC
937,1784.01,241196395,APC
938,1785.01,230386259,PC
939,1786.01,86280613,FP
940,1787.01,372730331,PC
941,1788.01,450327768,FP
942,1789.01,172518755,CP
943,179.01,207141131,CP
944,1790.01,310981412,FA
945,1791.01,233684293,FA
946,1792.01,29191596,PC
947,1793.01,304142124,CP
948,1794.01,286916251,CP
949,1795.01,135083444,FP
950,1796.01,138819293,KP
951,1797.01,368435330,CP
952,1797.02,368435330,CP
953,1798.01,198153540,CP
954,1798.02,198153540,CP
955,1799.01,8967242,CP
956,180.01,51912829,APC
957,1800.01,17993892,KP
958,1801.01,119584412,CP
959,1802.01,138762614,PC
960,1803.01,144401492,PC
961,1803.02,144401492,PC
962,1804.01,148679712,PC
963,1805.01,165763244,PC
964,1806.01,166648874,CP
965,1806.02,166648874,PC
966,1806.03,166648874,PC
967,1807.01,180695581,CP
968,1808.01,307734817,FP
969,1809.01,347329162,KP
970,181.01,76923707,CP
971,1810.01,373693175,KP
972,1811.01,376524552,CP
973,1812.01,207425167,PC
974,1812.02,207425167,PC
975,1812.03,207425167,PC
976,1813.01,377290815,FP
977,1814.01,160440924,PC
978,1815.01,233720539,FP
979,1816.01,237108272,FA
980,1817.01,285094173,PC
981,1818.01,330799746,PC
982,1819.01,341815767,FA
983,182.01,76989773,APC
984,1820.01,393831507,CP
985,1821.01,82308728,KP
986,1822.01,9392421,APC
987,1823.01,142381532,CP
988,1824.01,142387023,CP
989,1825.01,229750058,PC
990,1826.01,229400092,CP
991,1827.01,390651552,CP
992,1828.01,232982938,CP
993,1829.01,235905185,PC
994,183.01,183979262,FP
995,1830.01,20182165,FP
996,1831.01,27194429,APC
997,1832.01,307956397,PC
